run_name,model,active_learning_strategy,dataset_size,accuracy,precision_avg,recall_avg,f1_avg,precision_negative,precision_positive,recall_negative,recall_positive,f1_negative,f1_positive
run_8298122661_ensemble_comitee,bert,comitee,0,0.4919486581096849,0.5204597546517697,0.4919486581096849,0.3308932907528407,0.5483870967741935,0.4915373765867419,0.0077981651376146,0.9933491686460808,0.0153776571687019,0.657650573989621
run_8298122661_ensemble_comitee,bert,comitee,100,0.5402567094515752,0.574067865983364,0.5402567094515752,0.466596771976616,0.5281501340482574,0.6216216216216216,0.9036697247706422,0.1638954869358669,0.6666666666666667,0.2593984962406015
run_8298122661_ensemble_comitee,bert,comitee,200,0.5626604434072345,0.598465439099234,0.5626604434072345,0.5265673156560673,0.6600418410041841,0.5346951036347252,0.2894495412844036,0.8456057007125891,0.4024234693877551,0.6551343393448658
run_8298122661_ensemble_comitee,bert,comitee,300,0.6053675612602101,0.6068847578249403,0.6053675612602101,0.6024207601641725,0.5972940708316753,0.6168171557562077,0.6885321100917431,0.5192399049881236,0.6396761133603238,0.5638380190869229
run_8298122661_ensemble_comitee,bert,comitee,400,0.5617269544924154,0.6134333302710332,0.5617269544924154,0.5134029661582399,0.6916243654822335,0.5324563911924507,0.25,0.8845605700712589,0.3672506738544474,0.664762584791146
run_8298122661_ensemble_comitee,bert,comitee,500,0.617269544924154,0.6290836384556034,0.617269544924154,0.6106517600638384,0.6706700379266751,0.586015538290788,0.486697247706422,0.7524940617577197,0.5640616693248273,0.6589018302828619
run_8298122661_ensemble_comitee,bert,comitee,600,0.6175029171528588,0.6311887265056795,0.6175029171528588,0.6097585740862449,0.6759921925829538,0.5847889374090247,0.4766055045871559,0.7634204275534442,0.5590529997309659,0.6622707603544199
run_8298122661_ensemble_comitee,bert,comitee,700,0.6163360560093349,0.6443429323533957,0.6163360560093349,0.600146042917083,0.7097026604068858,0.5766544728965747,0.4160550458715596,0.8237529691211402,0.5245806824754193,0.6784037558685446
run_8298122661_ensemble_comitee,bert,comitee,800,0.6413068844807468,0.6766266998271561,0.6413068844807468,0.6193991414550577,0.6014515620069423,0.7544802867383512,0.8743119266055046,0.4,0.7126565713217424,0.5228190003104626
run_8298122661_ensemble_comitee,bert,comitee,900,0.6555425904317386,0.656653191250365,0.6555425904317386,0.6553561422780272,0.6728880157170923,0.6398399288572699,0.6284403669724771,0.6836104513064133,0.6499051233396584,0.6610013780431787
run_8298122661_ensemble_comitee,bert,comitee,1000,0.6401400233372229,0.6657606036174671,0.6401400233372229,0.6281823889955037,0.7325072886297376,0.5966357706831446,0.4610091743119266,0.8256532066508313,0.5658783783783784,0.6927062574730968
run_8298119734_ensemble_comitee,bert,comitee,2000,0.6912485414235706,0.7026374489158631,0.6912485414235706,0.6856473218808514,0.6578268876611418,0.7490445859872611,0.8192660550458716,0.5586698337292162,0.7297242083758938,0.6399999999999999
run_8298119734_ensemble_comitee,bert,comitee,3000,0.6791131855309218,0.7073527082585898,0.6791131855309218,0.669588986282575,0.7848549186128804,0.6270891364902507,0.5087155963302752,0.855581947743468,0.6173114389089897,0.723729154108901
run_8298119734_ensemble_comitee,bert,comitee,4000,0.7057176196032672,0.7146283906368855,0.7057176196032672,0.7034662852806688,0.7600452744765138,0.6675933280381255,0.6160550458715597,0.7985748218527315,0.680516848239169,0.72723339822626
run_8298119734_ensemble_comitee,bert,comitee,5000,0.7169194865810968,0.7290699815375312,0.7169194865810968,0.7121444120727961,0.6794063079777366,0.7805031446540881,0.8399082568807339,0.5895486935866984,0.7511794871794872,0.6717185385656292
run_8298119734_ensemble_comitee,bert,comitee,6000,0.7129521586931156,0.7218133914593019,0.7129521586931156,0.7108386411967454,0.7677564825253664,0.6742333731581044,0.6247706422018349,0.8042755344418052,0.6889226100151745,0.7335355285961872
run_8298119734_ensemble_comitee,bert,comitee,7000,0.7246207701283547,0.7292202509653477,0.7246207701283547,0.7226428368008564,0.6995211492418196,0.7599775154581225,0.8041284403669725,0.6422802850356295,0.7481860862142552,0.6961894953656025
run_8298119734_ensemble_comitee,bert,comitee,8000,0.7288214702450408,0.7301484234604855,0.7288214702450408,0.728101820211592,0.7151310228233305,0.7457008858780615,0.7761467889908257,0.6798099762470309,0.7443906731192258,0.7112326043737575
run_8298119734_ensemble_comitee,bert,comitee,9000,0.7325554259043174,0.7325599995269746,0.7325554259043174,0.7325575531177106,0.7373737373737373,0.7275747508305648,0.736697247706422,0.7282660332541567,0.7370353373106929,0.7279202279202279
run_8298119734_ensemble_comitee,bert,comitee,10000,0.6569428238039673,0.7314851805320337,0.6569428238039673,0.629852391887881,0.8622448979591837,0.5960665658093798,0.3876146788990826,0.9358669833729216,0.5348101265822784,0.7282809611829945
run_8298122661_ensemble_comitee,lstm,comitee,0,0.4807467911318553,0.4788414267846073,0.4807467911318553,0.4769542301154321,0.4910322837783977,0.4662162162162162,0.5651376146788991,0.3933491686460807,0.5254851780763489,0.4266941509920123
run_8298122661_ensemble_comitee,lstm,comitee,100,0.585997666277713,0.6066231600382269,0.585997666277713,0.559596103346523,0.5636363636363636,0.6511415525114155,0.8247706422018348,0.3387173396674584,0.6696461824953446,0.4456249999999999
run_8298122661_ensemble_comitee,lstm,comitee,200,0.6081680280046674,0.6107831464743025,0.6081680280046674,0.6040438059429898,0.5970554048818287,0.625,0.7068807339449541,0.505938242280285,0.6473429951690821,0.5592018902599107
run_8298122661_ensemble_comitee,lstm,comitee,300,0.620536756126021,0.6214605859597974,0.620536756126021,0.618799493581027,0.6138044371405095,0.6293895191788222,0.6853211009174311,0.5534441805225653,0.647594278283485,0.5889787664307381
run_8298122661_ensemble_comitee,lstm,comitee,400,0.6296382730455076,0.6296859201106868,0.6296382730455076,0.629158897928054,0.6288570186875272,0.6305443548387096,0.6637614678899083,0.5942992874109264,0.6458379825931713,0.6118855465884079
run_8298122661_ensemble_comitee,lstm,comitee,500,0.6331388564760794,0.6334300197366143,0.6331388564760794,0.6323532682068275,0.6296928327645052,0.637300360638846,0.6770642201834862,0.5876484560570071,0.6525198938992042,0.611468116658428
run_8298122661_ensemble_comitee,lstm,comitee,600,0.6312718786464411,0.6322786606489267,0.6312718786464411,0.6310807728122363,0.6472031403336604,0.616822429906542,0.6050458715596331,0.6584323040380048,0.6254148885727834,0.6369485294117647
run_8298122661_ensemble_comitee,lstm,comitee,700,0.6452742123687282,0.6467708254994811,0.6452742123687282,0.6449306018104872,0.6646706586826348,0.628233231039018,0.6110091743119266,0.6807600950118765,0.6367112810707457,0.6534427724578205
run_8298122661_ensemble_comitee,lstm,comitee,800,0.6469078179696616,0.6471266991375623,0.6469078179696616,0.6463343626579311,0.64381198792583,0.6505595116988809,0.6848623853211009,0.6076009501187648,0.663703045121138,0.6283468435273889
run_8298122661_ensemble_comitee,lstm,comitee,900,0.6368728121353558,0.6372124823241503,0.6368728121353558,0.6368822259409543,0.6477272727272727,0.626323055683387,0.6275229357798165,0.6465558194774347,0.6374650512581548,0.6362786348761104
run_8298122661_ensemble_comitee,lstm,comitee,1000,0.6469078179696616,0.6491659211632129,0.6469078179696616,0.6445804090575502,0.6338819751103975,0.664994425863991,0.7243119266055046,0.5667458432304038,0.676086491115393,0.6119517825083354
run_8298119734_ensemble_comitee,lstm,comitee,2000,0.6751458576429404,0.6768674093384637,0.6751458576429404,0.6748112703746519,0.697,0.6560175054704596,0.6394495412844037,0.7121140142517814,0.6669856459330143,0.6829157175398634
run_8298119734_ensemble_comitee,lstm,comitee,3000,0.6849474912485414,0.6855724425203656,0.6849474912485414,0.6843003824137849,0.6773504273504274,0.6940874035989717,0.7270642201834863,0.6413301662707839,0.7013274336283186,0.6666666666666667
run_8298119734_ensemble_comitee,lstm,comitee,4000,0.6865810968494749,0.6866755097435195,0.6865810968494749,0.6863315833652134,0.6844424856765094,0.6889880952380952,0.7123853211009175,0.6598574821852732,0.6981344122274669,0.6741082261586993
run_8298119734_ensemble_comitee,lstm,comitee,5000,0.7012835472578763,0.703007327057926,0.7012835472578763,0.7010119782045713,0.7241035856573705,0.6811594202898551,0.6669724770642201,0.7368171021377672,0.6943648519579753,0.7078959379278869
run_8298119734_ensemble_comitee,lstm,comitee,6000,0.6842473745624271,0.6842274008053381,0.6842473745624271,0.6842343688532156,0.6888990406578346,0.6793893129770993,0.691743119266055,0.6764845605700712,0.6903181506065461,0.6779338252796953
run_8298119734_ensemble_comitee,lstm,comitee,7000,0.688681446907818,0.6886421113051288,0.688681446907818,0.6886233560229054,0.6912296564195298,0.6859623733719248,0.7013761467889909,0.6755344418052257,0.6962659380692168,0.6807084729535664
run_8298119734_ensemble_comitee,lstm,comitee,8000,0.6956826137689615,0.6959693223343574,0.6956826137689615,0.6953146710566739,0.6907665505226481,0.7013574660633484,0.7275229357798165,0.66270783847981,0.7086684539767649,0.6814851001465559
run_8298119734_ensemble_comitee,lstm,comitee,9000,0.7012835472578763,0.7024579707481995,0.7012835472578763,0.701142075087954,0.7203721841332027,0.6839054837271511,0.6747706422018349,0.7287410926365796,0.6968261487446707,0.7056117755289789
run_8298119734_ensemble_comitee,lstm,comitee,10000,0.6968494749124854,0.69716371815499,0.6968494749124854,0.6964675337424358,0.6916050456720313,0.702920443101712,0.7293577981651376,0.6631828978622328,0.7099799062290689,0.6824737228061598
run_8298122661_ensemble_comitee,svm,comitee,0,0.5040840140023337,0.5042763956924876,0.5040840140023337,0.5041195591963502,0.5128926394749179,0.4953531598513011,0.501834862385321,0.5064133016627078,0.5073035010433573,0.5008221752407799
run_8298122661_ensemble_comitee,svm,comitee,100,0.5061843640606768,0.5081460044072932,0.5061843640606768,0.502386057880886,0.5181200453001132,0.4978165938864629,0.4197247706422018,0.5957244655581948,0.4637607704004055,0.5423875432525951
run_8298122661_ensemble_comitee,svm,comitee,200,0.5204200700116686,0.5225064440408989,0.5204200700116686,0.5176079769229786,0.5344732487589631,0.5101132686084142,0.4444954128440367,0.5990498812351543,0.4853493613824192,0.5510159493117762
run_8298122661_ensemble_comitee,svm,comitee,300,0.5150525087514586,0.5204909603706557,0.5150525087514586,0.5012620746460157,0.5357142857142857,0.5047252362618131,0.3509174311926605,0.6850356294536817,0.4240576496674058,0.581217251108424
run_8298122661_ensemble_comitee,svm,comitee,400,0.5185530921820304,0.5193902769161372,0.5185530921820304,0.5180646771480145,0.5292353823088456,0.5091943957968477,0.4857798165137614,0.5524940617577198,0.506577373834011,0.5299612668033722
run_8298122661_ensemble_comitee,svm,comitee,500,0.5337222870478413,0.5390175143293983,0.5337222870478413,0.5256010480742972,0.5575949367088607,0.5197781885397412,0.4041284403669725,0.6679334916864608,0.4686170212765957,0.5846153846153845
run_8298122661_ensemble_comitee,svm,comitee,600,0.5313885647607934,0.5344426113505121,0.5313885647607934,0.5273840070758968,0.5492554410080184,0.5191020086648287,0.4399082568807339,0.6261282660332541,0.488537952114111,0.5676141257536607
run_8298122661_ensemble_comitee,svm,comitee,700,0.5365227537922987,0.5379177178665923,0.5365227537922987,0.5355010646993678,0.5500515995872033,0.5253515125692373,0.4889908256880734,0.585748218527316,0.5177270519669742,0.5539083557951482
run_8298122661_ensemble_comitee,svm,comitee,800,0.5358226371061844,0.5363073218230769,0.5358226371061844,0.5357430002428328,0.5460240963855422,0.5262443438914027,0.5197247706422018,0.5524940617577198,0.5325499412455934,0.5390498261877172
run_8298122661_ensemble_comitee,svm,comitee,900,0.5327887981330222,0.5357249018818832,0.5327887981330222,0.5291170432722165,0.5505107832009081,0.5204122076892588,0.4449541284403669,0.6237529691211401,0.4921359715880264,0.5674157303370786
run_8298122661_ensemble_comitee,svm,comitee,1000,0.5316219369894982,0.5348698042190261,0.5316219369894982,0.5272626429902413,0.550028918449971,0.519170579029734,0.4362385321100917,0.6304038004750594,0.486569455103607,0.5694057069298435
run_8298119734_ensemble_comitee,svm,comitee,2000,0.5283547257876313,0.5277622963837963,0.5283547257876313,0.5237967905266245,0.5310183378852906,0.524390243902439,0.6243119266055046,0.428978622327791,0.573898376554923,0.4719101123595506
run_8298119734_ensemble_comitee,svm,comitee,3000,0.5379229871645275,0.5409967036873171,0.5379229871645275,0.5343688065237024,0.5566251415628539,0.5248114331083763,0.4509174311926605,0.6280285035629454,0.4982260516979219,0.5717993079584776
run_8298119734_ensemble_comitee,svm,comitee,4000,0.53512252042007,0.535368552821916,0.53512252042007,0.5351474847897986,0.5442978322337417,0.5261211280628756,0.5298165137614679,0.5406175771971496,0.5369595536959554,0.5332708528584817
run_8298119734_ensemble_comitee,svm,comitee,5000,0.5374562427071179,0.5372258752570561,0.5374562427071179,0.5371893034687397,0.5439609236234458,0.5302508607968519,0.5619266055045872,0.5121140142517815,0.552797833935018,0.5210246495891735
run_8298119734_ensemble_comitee,svm,comitee,6000,0.5421236872812135,0.5451045515730011,0.5421236872812135,0.5389719714235973,0.561030235162374,0.5286114445778312,0.4596330275229358,0.6275534441805226,0.5052950075642966,0.5738488271068637
run_8298119734_ensemble_comitee,svm,comitee,7000,0.538389731621937,0.5379630550313061,0.538389731621937,0.5369527432594432,0.5423657718120806,0.5334034718569174,0.5931192660550458,0.4817102137767221,0.5666082383873795,0.5062406390414378
run_8298119734_ensemble_comitee,svm,comitee,8000,0.5507584597432905,0.552586846896397,0.5507584597432905,0.5494561532218245,0.5667888947092719,0.5378787878787878,0.4963302752293578,0.607125890736342,0.5292247493274639,0.5704083909841553
run_8298119734_ensemble_comitee,svm,comitee,9000,0.5498249708284714,0.549511252615992,0.5498249708284714,0.5487063184043491,0.5532005086901229,0.5456905503634476,0.5986238532110092,0.4992874109263658,0.575016523463318,0.5214586951128753
run_8298119734_ensemble_comitee,svm,comitee,10000,0.5537922987164527,0.5557148922914876,0.5537922987164527,0.5524411685251247,0.5703781512605042,0.5405291894162116,0.4981651376146789,0.6114014251781472,0.5318315377081292,0.5737851092287115
